Do you consent to participate?,A1. What is your age group?,A2. What is your gender?,A3. What is your current employment sector?,A4. What is your current job level?,A5. How many years of work experience do you have?,"B1. How frequently do you use generative AI tools (e.g., ChatGPT, Copilot, Gemini, Claude) for work-related tasks?",B2. Which of the following best describes how you primarily use generative AI at work? (select the closest match),B3. How would you rate your own proficiency/literacy with generative AI tools?, [Generative AI tools help me complete tasks faster.], [Generative AI improves the overall quality of my work output.], [I feel more creative when using generative AI tools.], [Generative AI reduces the amount of repetitive/manual work I do.]," [Overall, generative AI has increased my productivity at work.]", [I am concerned that generative AI could eventually replace parts of my job.], [My organization's growing use of AI tools makes me feel less secure in my role.], [I feel pressure to constantly upskill to keep pace with AI developments.], [I trust my organization to manage AI adoption fairly and transparently.]," [Overall, generative AI increases my anxiety about my long-term career prospects.]",E1. What is your biggest concern (if any) about the use of generative AI in your workplace?,E2. What is the most valuable benefit (if any) you have experienced from using generative AI at work?
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,"I am concerned that some routine writing and summarization work may be automated, but I still see value in human review and strategic oversight.","AI has sped up drafting and first-pass research, giving me more time for analysis and client communication."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,1–3 years,Rarely (a few times a month),Brainstorming / idea generation,Basic,3 Neutral,3 Neutral,4 Agree,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,The main concern is that AI might reduce the need for entry-level support tasks and alter how junior roles develop.,"It helps me generate ideas and summarize reading material faster, which supports learning and assignments."
I have read the above and voluntarily agree to participate.,35–44,Female,Healthcare,Senior / Specialist,8–15 years,Frequently (daily),Data analysis or summarization,Advanced,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,My concern is that AI could reshape specialist roles and create pressure to reskill more quickly as workflows change.,AI is especially valuable for processing large documents and identifying trends more efficiently.
I have read the above and voluntarily agree to participate.,45–54,Male,Finance / Banking,Managerial,More than 15 years,Frequently (daily),"Drafting written content (emails, reports, documents)",Advanced,4 Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,I worry about how quickly AI may change managerial workflows and whether teams will be reskilled fairly.,"It helps draft updates and summaries efficiently, which allows me to spend more attention on decisions and stakeholder communication."
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,More than 15 years,Occasionally (a few times a week),Brainstorming / idea generation,Intermediate,3 Neutral,4 Agree,3 Neutral,3 Neutral,3 Neutral,2 Disagree,3 Neutral,3 Neutral,4 Agree,3 Neutral,I am concerned that AI could blur accountability if used without strong governance and human oversight in public services.,"AI produces useful brainstorming and synthesis support, though strategic judgment still needs to remain human-led."
I have read the above and voluntarily agree to participate.,25–34,Other,Retail / E-commerce,Mid-level / Associate,1–3 years,Constantly (multiple times per day),Customer-facing communication,Expert,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,I worry about automation affecting customer support and sales coordination roles as AI becomes more capable.,AI helps me write customer replies and summarize conversations quickly while keeping tone consistent and professional.
I have read the above and voluntarily agree to participate.,35–44,Female,Technology / IT,Senior / Specialist,8–15 years,Frequently (daily),Coding / technical assistance,Expert,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,My main concern is that AI may shift the value of routine engineering work and increase the expectations for continuous learning.,"It accelerates code generation, debugging support, and technical documentation, which improves delivery speed."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,Less than 1 year,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"I am not using AI yet, but I am concerned that the lack of adoption could reduce opportunities for early-career skills development.","I have not used it at work yet, but I expect it may help with study summaries and preparing first drafts once I become more familiar."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,"I am concerned that some routine writing and summarization work may be automated, but I still see value in human review and strategic oversight.","AI has sped up drafting and first-pass research, giving me more time for analysis and client communication."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,1–3 years,Rarely (a few times a month),Brainstorming / idea generation,Basic,3 Neutral,3 Neutral,4 Agree,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,The main concern is that AI might reduce the need for entry-level support tasks and alter how junior roles develop.,"It helps me generate ideas and summarize reading material faster, which supports learning and assignments."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,1–3 years,Rarely (a few times a month),Brainstorming / idea generation,Basic,3 Neutral,3 Neutral,4 Agree,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
I have read the above and voluntarily agree to participate.,35–44,Female,Healthcare,Senior / Specialist,8–15 years,Frequently (daily),Data analysis or summarization,Advanced,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
I have read the above and voluntarily agree to participate.,45–54,Male,Finance / Banking,Managerial,More than 15 years,Frequently (daily),"Drafting written content (emails, reports, documents)",Advanced,4 Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,More than 15 years,Occasionally (a few times a week),Brainstorming / idea generation,Intermediate,3 Neutral,4 Agree,3 Neutral,3 Neutral,3 Neutral,2 Disagree,3 Neutral,3 Neutral,4 Agree,3 Neutral,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
I have read the above and voluntarily agree to participate.,25–34,Other,Retail / E-commerce,Mid-level / Associate,1–3 years,Constantly (multiple times per day),Customer-facing communication,Expert,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
I have read the above and voluntarily agree to participate.,35–44,Female,Technology / IT,Senior / Specialist,8–15 years,Frequently (daily),Coding / technical assistance,Expert,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,Less than 1 year,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,1–3 years,Rarely (a few times a month),Brainstorming / idea generation,Basic,3 Neutral,3 Neutral,4 Agree,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
I have read the above and voluntarily agree to participate.,35–44,Female,Healthcare,Senior / Specialist,8–15 years,Frequently (daily),Data analysis or summarization,Advanced,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
I have read the above and voluntarily agree to participate.,45–54,Male,Finance / Banking,Managerial,More than 15 years,Frequently (daily),"Drafting written content (emails, reports, documents)",Advanced,4 Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,More than 15 years,Occasionally (a few times a week),Brainstorming / idea generation,Intermediate,3 Neutral,4 Agree,3 Neutral,3 Neutral,3 Neutral,2 Disagree,3 Neutral,3 Neutral,4 Agree,3 Neutral,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
I have read the above and voluntarily agree to participate.,25–34,Other,Retail / E-commerce,Mid-level / Associate,1–3 years,Constantly (multiple times per day),Customer-facing communication,Expert,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
I have read the above and voluntarily agree to participate.,35–44,Female,Technology / IT,Senior / Specialist,8–15 years,Frequently (daily),Coding / technical assistance,Expert,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,Less than 1 year,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,1–3 years,Rarely (a few times a month),Brainstorming / idea generation,Basic,3 Neutral,3 Neutral,4 Agree,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
I have read the above and voluntarily agree to participate.,35–44,Female,Healthcare,Senior / Specialist,8–15 years,Frequently (daily),Data analysis or summarization,Advanced,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
I have read the above and voluntarily agree to participate.,45–54,Male,Finance / Banking,Managerial,More than 15 years,Frequently (daily),"Drafting written content (emails, reports, documents)",Advanced,4 Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,More than 15 years,Occasionally (a few times a week),Brainstorming / idea generation,Intermediate,3 Neutral,4 Agree,3 Neutral,3 Neutral,3 Neutral,2 Disagree,3 Neutral,3 Neutral,4 Agree,3 Neutral,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
I have read the above and voluntarily agree to participate.,25–34,Other,Retail / E-commerce,Mid-level / Associate,1–3 years,Constantly (multiple times per day),Customer-facing communication,Expert,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
I have read the above and voluntarily agree to participate.,35–44,Female,Technology / IT,Senior / Specialist,8–15 years,Frequently (daily),Coding / technical assistance,Expert,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,Less than 1 year,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,1–3 years,Rarely (a few times a month),Brainstorming / idea generation,Basic,3 Neutral,3 Neutral,4 Agree,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
I have read the above and voluntarily agree to participate.,35–44,Female,Healthcare,Senior / Specialist,8–15 years,Frequently (daily),Data analysis or summarization,Advanced,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
I have read the above and voluntarily agree to participate.,45–54,Male,Finance / Banking,Managerial,More than 15 years,Frequently (daily),"Drafting written content (emails, reports, documents)",Advanced,4 Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
I have read the above and voluntarily agree to participate.,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,More than 15 years,Occasionally (a few times a week),Brainstorming / idea generation,Intermediate,3 Neutral,4 Agree,3 Neutral,3 Neutral,3 Neutral,2 Disagree,3 Neutral,3 Neutral,4 Agree,3 Neutral,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
I have read the above and voluntarily agree to participate.,25–34,Other,Retail / E-commerce,Mid-level / Associate,1–3 years,Constantly (multiple times per day),Customer-facing communication,Expert,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,4 Agree,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
I have read the above and voluntarily agree to participate.,35–44,Female,Technology / IT,Senior / Specialist,8–15 years,Frequently (daily),Coding / technical assistance,Expert,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,4 Agree,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,Less than 1 year,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,4 Agree,2 Disagree,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
I have read the above and voluntarily agree to participate.,18–24,Male,Education,Entry-level / Junior,1–3 years,Rarely (a few times a month),Brainstorming / idea generation,Basic,3 Neutral,3 Neutral,4 Agree,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
I have read the above and voluntarily agree to participate.,35–44,Female,Healthcare,Senior / Specialist,8–15 years,Frequently (daily),Data analysis or summarization,Advanced,5 Strongly Agree,5 Strongly Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
I have read the above and voluntarily agree to participate.,18–24,Prefer not to say,Education,Managerial,8–15 years,Never,I do not use generative AI at work,Beginner,2 Disagree,2 Disagree,2 Disagree,2 Disagree,2 Disagree,1 Strongly Disagree,1 Strongly Disagree,2 Disagree,2 Disagree,2 Disagree,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
I have read the above and voluntarily agree to participate.,25–34,Male,Healthcare,Mid-level / Associate,More than 15 years,Occasionally (a few times a week),"Drafting written content (emails, reports, documents)",Expert,4 Agree,3 Neutral,3 Neutral,3 Neutral,3 Neutral,2 Disagree,2 Disagree,3 Neutral,4 Agree,3 Neutral,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
I have read the above and voluntarily agree to participate.,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,Less than 1 year,Frequently (daily),Coding / technical assistance,Beginner,4 Agree,4 Agree,4 Agree,5 Strongly Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,2 Disagree,4 Agree,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
I have read the above and voluntarily agree to participate.,45–54,Male,Government / Public Sector,Senior / Specialist,1–3 years,Constantly (multiple times per day),Data analysis or summarization,Basic,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,5 Strongly Agree,4 Agree,4 Agree,5 Strongly Agree,2 Disagree,5 Strongly Agree,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
I have read the above and voluntarily agree to participate.,25–34,Female,Technology / IT,Mid-level / Associate,4–7 years,Rarely (a few times a month),"Drafting written content (emails, reports, documents)",Intermediate,4 Agree,4 Agree,3 Neutral,4 Agree,4 Agree,3 Neutral,3 Neutral,4 Agree,3 Neutral,4 Agree,Concern: task automation may change role scope over time.,Benefit: faster drafting and summarization save time for higher-value work.
