respondent_id,age_group,gender,sector,job_level_text,job_level,experience_years_text,experience_years_code,ai_usage_freq_text,ai_usage_freq,ai_primary_use,ai_literacy_text,ai_literacy,prod_1,prod_2,prod_3,prod_4,prod_5,productivity_index,anx_1,anx_2,anx_3,anx_4,anx_5,anx_4_rev,anxiety_index,concern_text,benefit_text
R1031,45–54,Male,Finance / Banking,Managerial,4,More than 15 years,5,Frequently (daily),4,"Drafting written content (emails, reports, documents)",Advanced,4,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
R1032,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,5,More than 15 years,5,Occasionally (a few times a week),3,Brainstorming / idea generation,Intermediate,3,3.0,4.0,3.0,3.0,3.0,3.2,2.0,3.0,3.0,4.0,3.0,2.0,2.6,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
R1033,25–34,Other,Retail / E-commerce,Mid-level / Associate,2,1–3 years,2,Constantly (multiple times per day),5,Customer-facing communication,Expert,5,5.0,4.0,5.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,4.0,4.0,4.2,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
R1034,35–44,Female,Technology / IT,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Coding / technical assistance,Expert,5,5.0,5.0,4.0,5.0,5.0,4.8,3.0,4.0,4.0,3.0,4.0,3.0,3.6,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
R1035,18–24,Male,Education,Entry-level / Junior,1,Less than 1 year,1,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
R1036,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
R1037,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
R1038,35–44,Female,Healthcare,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Data analysis or summarization,Advanced,4,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
R1039,45–54,Male,Finance / Banking,Managerial,4,More than 15 years,5,Frequently (daily),4,"Drafting written content (emails, reports, documents)",Advanced,4,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
R1040,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,5,More than 15 years,5,Occasionally (a few times a week),3,Brainstorming / idea generation,Intermediate,3,3.0,4.0,3.0,3.0,3.0,3.2,2.0,3.0,3.0,4.0,3.0,2.0,2.6,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
R1041,25–34,Other,Retail / E-commerce,Mid-level / Associate,2,1–3 years,2,Constantly (multiple times per day),5,Customer-facing communication,Expert,5,5.0,4.0,5.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,4.0,4.0,4.2,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
R1042,35–44,Female,Technology / IT,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Coding / technical assistance,Expert,5,5.0,5.0,4.0,5.0,5.0,4.8,3.0,4.0,4.0,3.0,4.0,3.0,3.6,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
R1043,18–24,Male,Education,Entry-level / Junior,1,Less than 1 year,1,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
R1044,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
R1045,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
R1046,35–44,Female,Healthcare,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Data analysis or summarization,Advanced,4,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
R1047,45–54,Male,Finance / Banking,Managerial,4,More than 15 years,5,Frequently (daily),4,"Drafting written content (emails, reports, documents)",Advanced,4,4.0,5.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,4.0,4.0,4.0,The concern is that AI could change management work quickly and require fair reskilling across teams.,"It helps produce concise updates and executive summaries, which lets me focus on strategic thinking and communication."
R1048,55 or older,Prefer not to say,Government / Public Sector,Executive / C-level,5,More than 15 years,5,Occasionally (a few times a week),3,Brainstorming / idea generation,Intermediate,3,3.0,4.0,3.0,3.0,3.0,3.2,2.0,3.0,3.0,4.0,3.0,2.0,2.6,"AI may blur accountability if it is used without governance, so strong oversight remains essential in public administration.","It is useful for brainstorming and synthesizing options, though strategic judgment must stay firmly human-led."
R1049,25–34,Other,Retail / E-commerce,Mid-level / Associate,2,1–3 years,2,Constantly (multiple times per day),5,Customer-facing communication,Expert,5,5.0,4.0,5.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,4.0,4.0,4.2,My concern is that AI automation may reduce the demand for some customer support and coordination tasks.,AI helps me create customer-ready replies and summarize conversations quickly while preserving a consistent tone.
R1050,35–44,Female,Technology / IT,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Coding / technical assistance,Expert,5,5.0,5.0,4.0,5.0,5.0,4.8,3.0,4.0,4.0,3.0,4.0,3.0,3.6,The biggest concern is that routine engineering and support work may be devalued as AI accelerates delivery expectations.,"AI helps speed up code generation, debugging support, and technical documentation, improving team velocity."
R1051,18–24,Male,Education,Entry-level / Junior,1,Less than 1 year,1,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"I have not adopted AI yet, but I worry that limited exposure could reduce early-career growth and skills opportunities.","I have not used it much yet, but I expect it may help with summaries and first drafts once I am more familiar."
R1052,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,"I worry about task automation reducing some routine work, but I still value human judgment for quality control and decisions.","AI helps me draft communications and summaries quickly, which frees time for analysis and stakeholder work."
R1053,18–24,Male,Education,Entry-level / Junior,1,1–3 years,2,Rarely (a few times a month),2,Brainstorming / idea generation,Basic,2,3.0,3.0,4.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,My main concern is that AI may reduce opportunities for junior staff to build foundational skills through routine tasks.,It helps me brainstorm ideas and summarize reading material quickly while I learn.
R1054,35–44,Female,Healthcare,Senior / Specialist,3,8–15 years,4,Frequently (daily),4,Data analysis or summarization,Advanced,4,5.0,5.0,4.0,5.0,5.0,4.8,4.0,4.0,5.0,2.0,5.0,4.0,4.4,I am concerned about role changes and the need to continuously reskill as AI becomes more integrated in clinical workflows.,"AI supports quick summarization of research and operational data, which improves decision support and time efficiency."
R1055,18–24,Prefer not to say,Education,Managerial,4,8–15 years,4,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1056,25–34,Male,Healthcare,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Expert,5,4.0,3.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1057,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,Coding / technical assistance,Beginner,1,4.0,4.0,4.0,5.0,4.0,4.2,3.0,3.0,4.0,2.0,4.0,4.0,3.6,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
R1058,45–54,Male,Government / Public Sector,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,Data analysis or summarization,Basic,2,5.0,4.0,4.0,5.0,5.0,4.6,4.0,4.0,5.0,2.0,5.0,4.0,4.4,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
R1059,25–34,Female,Technology / IT,Mid-level / Associate,2,4–7 years,3,Rarely (a few times a month),2,"Drafting written content (emails, reports, documents)",Intermediate,3,4.0,4.0,3.0,4.0,4.0,3.8,3.0,3.0,4.0,3.0,4.0,3.0,3.4,Concern: task automation may change role scope over time.,Benefit: faster drafting and summarization save time for higher-value work.
R1060,18–24,Prefer not to say,Education,Managerial,4,8–15 years,4,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1061,25–34,Male,Healthcare,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Expert,5,4.0,3.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1062,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,Coding / technical assistance,Beginner,1,4.0,4.0,4.0,5.0,4.0,4.2,4.0,3.0,4.0,2.0,4.0,4.0,3.8,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
R1063,45–54,Male,Government / Public Sector,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,Data analysis or summarization,Basic,2,5.0,4.0,4.0,5.0,5.0,4.6,5.0,4.0,5.0,2.0,5.0,4.0,4.6,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
R1064,18–24,Prefer not to say,Education,Managerial,4,8–15 years,4,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,"Automation is my main concern because routine work may be reduced, but I still value human oversight and judgment for critical decisions.","The biggest benefit has been faster drafting, summarization, and first-pass research, which gives me more time for analysis and relationship-building."
R1065,25–34,Male,Healthcare,Mid-level / Associate,2,More than 15 years,5,Occasionally (a few times a week),3,"Drafting written content (emails, reports, documents)",Expert,5,4.0,3.0,3.0,3.0,3.0,3.2,2.0,2.0,3.0,4.0,3.0,2.0,2.4,I worry about how AI may change team roles over time and whether junior staff will still gain foundational experience.,"It is helpful for brainstorming, writing first drafts, and summarizing information quickly so I can focus on high-value work."
R1066,35–44,Prefer not to say,Retail / E-commerce,Executive / C-level,5,Less than 1 year,1,Frequently (daily),4,Coding / technical assistance,Beginner,1,4.0,4.0,4.0,5.0,4.0,4.2,4.0,3.0,4.0,2.0,4.0,4.0,3.8,My top concern is AI reshaping job scopes and creating pressure to continually reskill as tasks change.,"The most valuable benefit is the speed of turnaround for routine tasks, especially drafting, summarization, and issue triage."
R1067,45–54,Male,Government / Public Sector,Senior / Specialist,3,1–3 years,2,Constantly (multiple times per day),5,Data analysis or summarization,Basic,2,5.0,4.0,4.0,5.0,5.0,4.6,5.0,4.0,5.0,2.0,5.0,4.0,4.6,I am concerned that AI adoption could reduce the need for some repetitive work if organizations do not manage transitions carefully.,AI has been helpful for summarizing large amounts of information and generating quality drafts with less manual effort.
R1068,55 or older,Prefer not to say,Other,Entry-level / Junior,1,4–7 years,3,Never,1,Brainstorming / idea generation,Intermediate,3,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,"The main issue is balancing productivity gains with fairness, accountability, and the risk of over-automation in operations.","It helps me draft communication, spot patterns, and accelerate low-value tasks while I focus on judgment and strategy."
R1069,18–24,Male,Technology / IT,Managerial,4,8–15 years,4,Rarely (a few times a month),2,Customer-facing communication,Advanced,4,4.0,5.0,2.0,2.0,2.0,3.0,1.0,1.0,2.0,2.0,2.0,4.0,2.0,My concern is that AI could make some repetitive roles less visible over time without proper reskilling programs.,"The best benefit has been quick content generation and support for problem-solving, which speeds up day-to-day work."
R1070,25–34,Prefer not to say,Finance / Banking,Mid-level / Associate,2,More than 15 years,5,Never,1,I do not use generative AI at work,Beginner,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,2.0,1.6,I worry about over-reliance on automation where judgment and context matter most.,"AI accelerates writing, summarizing, and idea generation, which improves my output and saves time."
